"","Bcells","CAFs","CD4_Tcells","CD8_Tcells","Endothelial","Macrophages","NKcells","otherCells"
"19127FL-02-35_S64_L006",0.00390178815233105,0.0147720729563047,0.104346515924108,0.0254416126027953,0.0256306412972606,0.00262436723213827,8.22524335100424e-10,0.823283001012538
"19127FL-02-20_S83_L008",0.0117243855926686,0.114674049050172,0.12640085570605,0.0382808986062809,0.0413958805626905,0.0103867149359784,5.42986315549584e-09,0.657137210116297
"19127FL-02-04_S81_L008",0.00829073223882392,0.21833790955215,0.198740859653943,0.0237316796914864,0.0555509876196342,0.00635514066074422,8.46427444787475e-09,0.488992682118944
"19127FL-02-53_S23_L002",0.00516552020378663,0.0978717244692538,0.117384186503619,0.0422744565007324,0.0353945033345431,0.00485251455747085,2.55495401732325e-09,0.69705709187564
"19127FL-02-74_S105_L008",0.00850186184928968,0.43506469829449,0.112402995191217,0.0110588975868778,0.0424446248385472,0.00728302893794618,8.30037194047533e-09,0.383243885001261
"19127FL-02-40_S67_L006",0.00384892018329001,0.0372316797085171,0.0691035359090346,0.0363775839519149,0.023445606964086,0.00098007300955662,7.96744755709422e-10,0.829012599476856
"19127FL-02-64_S65_L006",0.0026924236392628,0.0375542175975566,0.105957935463423,0.0341102763868329,0.0264551894294255,0.00210862101702781,6.5633441210646e-10,0.791121335810137
"19127FL-02-07_S56_L006",0.00393512937125075,0.0334389538243025,0.139796158954154,0.0208569439509963,0.0418098771452134,0.00149157481134712,6.43386046325613e-10,0.75867136129935
"19127FL-02-85_S46_L004",0.100638833945962,0.0956799960001977,0.177291084034414,0.0490198087191828,0.0505761741429901,0.0153688223315717,1.53837343578608e-09,0.511425279287308
"19127FL-02-14_S639_L008",0.0400141704376563,0.191375507008454,0.223340887469145,0.0202506280831371,0.0939461020397765,0.00865087442920005,2.64265052773114e-09,0.422421827889981
"19127FL-02-65_S88_L008",0.0110088778953825,0.0262027926052378,0.136824299455416,0.0510030475506685,0.0355756434328799,0.00555128400970549,2.15068865735856e-08,0.733834033543823
