"","Bcells","CAFs","CD4_Tcells","CD8_Tcells","Endothelial","Macrophages","NKcells","otherCells"
"19127FL-02-35_S64_L006",0.00389733315208233,0.0146964207530906,0.102566380696585,0.025007582674358,0.0254993791183054,0.0092661801456023,8.99324824261905e-10,0.819066722560652
"19127FL-02-20_S83_L008",0.0114892624887588,0.111926646829554,0.121892028441605,0.0369153860203153,0.0404041031280886,0.0359792874061085,5.82445001696786e-09,0.64139327986112
"19127FL-02-04_S81_L008",0.00821251096070656,0.215416273174087,0.193728479021619,0.0231331504717515,0.0548076454002286,0.0222525879875927,9.17776195625299e-09,0.482449343806253
"19127FL-02-53_S23_L002",0.00513242618568128,0.0968572591432451,0.114773459909465,0.0413342357510108,0.035027630301919,0.017043068166497,2.77878992448458e-09,0.689831917763392
"19127FL-02-74_S105_L008",0.00839222044551572,0.427743060401162,0.10918524562813,0.010742315605963,0.041730330677692,0.0254124865491854,8.96859417625765e-09,0.376794331723758
"19127FL-02-40_S67_L006",0.00385949987038772,0.037185278860651,0.0681892050499477,0.0358962605702858,0.0234163873304195,0.00347394422457436,8.74531221609844e-10,0.827979423219203
"19127FL-02-64_S65_L006",0.00269321543872785,0.0374155993053456,0.104300026767105,0.0335765577596419,0.0263575393274283,0.00745587327485568,7.18649049086714e-10,0.788201187408247
"19127FL-02-07_S56_L006",0.00394341711612453,0.033375875837371,0.137858063296208,0.020567788992721,0.0417310085628401,0.00528361335907056,7.05747453363141e-10,0.757240232129917
"19127FL-02-85_S46_L004",0.0974492206983936,0.0922784327583386,0.168936270191406,0.0467097581111716,0.0487781174741928,0.0526048335579176,1.63056653897191e-09,0.493243365578014
"19127FL-02-14_S639_L008",0.0394140082434152,0.187754098875377,0.216485221706769,0.0196290153583496,0.0921683553295732,0.0301209787757431,2.84931523045843e-09,0.414428318861458
"19127FL-02-65_S88_L008",0.0109224951836435,0.0258936142436796,0.133587330726321,0.0497964251110351,0.0351558706508842,0.0194690401393329,2.33571758997946e-08,0.725175200587928
