"","Bcells","CAFs","CD4_Tcells","CD8_Tcells","Endothelial","Macrophages","NKcells","otherCells"
"TCGA-GU-A42Q-01A-11R-A23W-07",0.000383460939974287,0.0290328193461384,0.0781771092098413,0.00911552630070662,0.00654366562087496,0.00124304422245265,6.8627481236264e-11,0.875504374291384
"TCGA-E7-A6MD-01A-41R-A352-07",0.018538263171766,0.0987537737268867,0.0555908282114042,0.0166758325075775,0.0322630003567898,0.00444406970637718,1.52839690358797e-10,0.773734232166359
"TCGA-CF-A3MG-01A-11R-A20F-07",0.000442671791233348,0.00745923155016881,0.103383789352934,0.0268066719925213,0.0206884653407567,0.00034268599902699,4.78930805718706e-09,0.840876479184051
"TCGA-ZF-AA4X-01A-11R-A38B-07",0.00212057804213833,0.00461590699031117,0.0586014238775285,0.0208089838404245,0.0104071318905958,0.000688930841127323,1.70705532284998e-09,0.902757042810819
"TCGA-H4-A2HQ-01A-11R-A180-07",0.000556228642115459,0.0111674307879664,0.048932272866467,0.0311066039474061,0.0121011921332466,0.00227378179687086,7.45224913399643e-10,0.893862489080703
"TCGA-GD-A3OP-11A-11R-A220-07",0.00188630218253811,0.0804898833817836,0.0903711941740729,0.0350843004802208,0.0557412235245526,0.00542414300051757,4.51405044173609e-10,0.731002952804909
"TCGA-2F-A9KO-01A-11R-A38B-07",0.00570909472552349,0.052886797090556,0.0898257269006401,0.0283130008892809,0.0148777920857545,0.0103955283715329,3.59405674644932e-09,0.797992056342655
"TCGA-UY-A9PH-01A-11R-A38B-07",0.00993748421829523,0.0556135490605925,0.0602632960986402,0.030399314823048,0.0258582365063055,0.0248869967369936,0.00300726469633992,0.790033857859785
"TCGA-DK-AA6W-01A-12R-A39I-07",0.00348043989262304,0.0265616295577568,0.0567889680933069,0.0176448909880688,0.0135682384137613,0.0087163025141667,3.34464297559733e-10,0.873239530205852
"TCGA-DK-A6B0-01A-11R-A31N-07",0.000776165790451304,0.00216731869273976,0.0793230042620987,0.0148789805957793,0.0194296717026051,0.00134967791750162,6.268620589035e-12,0.882075181032555
"TCGA-E7-A3X6-01A-12R-A22U-07",0.00236071886621971,0.0318021281762855,0.0846400459109607,0.0353073956357164,0.0225698852573483,0.00651849738798775,6.58884938347556e-10,0.816801328106597
"TCGA-XF-AAN4-01A-11R-A42T-07",0.00852909732372256,0.129180645533829,0.0492950995770796,0.0341838474549295,0.0935729336109393,0.0292612034176711,2.65123123140225e-08,0.655977146569516
"TCGA-K4-A5RJ-01A-11R-A28M-07",0.000320966912423837,0.0204533212593186,0.0175258621903565,0.0499004200940221,1.82212711277246e-06,0.171457896569837,0.00232394249771757,0.738015768349212
"TCGA-K4-AAQO-01A-11R-A38B-07",0.0119377705508515,0.0764205972304392,0.0650934083109069,0.0466742183757239,0.0443181749838071,0.00703130091235399,5.07590987204612e-09,0.748524524560007
"TCGA-XF-A9T3-01A-11R-A42T-07",0.00720552261874516,0.150777229475672,0.0469628867566044,0.0318912708248015,0.0475540689235491,0.00671365044368654,0.00131264058133252,0.707582730375609
"TCGA-CF-A1HR-01A-11R-A13Y-07",0.00439843539622666,0.0312021855315998,0.0795928934532546,0.0308332730090462,0.0654326255321535,0.00258358505817534,3.96533684100376e-10,0.78595700162301
"TCGA-GC-A3RC-01A-11R-A22U-07",0.000693019535289316,0.0419144904278987,0.0867290139553074,0.010147773391174,0.0239326493689883,0.0209363014617126,0.00331896217625437,0.812327789683375
"TCGA-XF-A9SI-01A-11R-A39I-07",0.0591862702337113,0.0550064707882964,5.87245565280587e-07,0.257372090579819,0.0412917600823275,0.0251755070980126,9.02317252233235e-09,0.561967304949095
"TCGA-CF-A47Y-01A-11R-A23W-07",3.77853855796668e-05,0.00307231751510219,0.0843256969576103,0.0154107728105245,0.0276901584367243,0.000848890639776029,6.4779323432326e-11,0.868614378189904
