"","Bcells","CAFs","CD4_Tcells","CD8_Tcells","Endothelial","Macrophages","NKcells","otherCells"
"TCGA-GU-A42Q-01A-11R-A23W-07",0.000384179346954925,0.028971326490389,0.0770753881548478,0.00898706456357742,0.00652980583408336,0.00440222004876899,7.5261855433453e-11,0.873650015486117
"TCGA-E7-A6MD-01A-41R-A352-07",0.0184183806686871,0.0977242597111882,0.0543511550062992,0.0163039621218036,0.0319266566424963,0.015607579306394,1.66219713831724e-10,0.765668006376912
"TCGA-CF-A3MG-01A-11R-A20F-07",0.000444748023743314,0.00746435962317814,0.102213405283644,0.0265031998326489,0.0207026882483048,0.00121702871872473,5.26706807150363e-09,0.841454565002688
"TCGA-ZF-AA4X-01A-11R-A38B-07",0.0021273337202678,0.00461216356325679,0.0578512522674004,0.0205426027889108,0.0103986918723807,0.00244303268648592,1.87453235005926e-09,0.902024921226765
"TCGA-H4-A2HQ-01A-11R-A180-07",0.00055576497234401,0.0111136669983473,0.0481123359954758,0.0305853640782219,0.0120429329006313,0.00803080156444145,8.15059226274065e-10,0.889559132675479
"TCGA-GD-A3OP-11A-11R-A220-07",0.00187078395541912,0.0795096706833158,0.0881993982735567,0.0342411563716163,0.0550624021269897,0.0190158519063588,4.90052666547339e-10,0.722100736192691
"TCGA-2F-A9KO-01A-11R-A38B-07",0.00559156398350763,0.0515916720608008,0.086574505990644,0.0272882185280116,0.0145134553896834,0.0359902534054469,3.85314151257522e-09,0.778450326788764
"TCGA-UY-A9PH-01A-11R-A38B-07",0.00938869028017186,0.0523329791995076,0.0560279424708958,0.0282628261698885,0.0243328932621445,0.0831138380940887,0.00311002726281364,0.743430803260489
"TCGA-DK-AA6W-01A-12R-A39I-07",0.003421354830619,0.0260066840933586,0.0549352605411231,0.0170689258177156,0.0132847606116476,0.0302878580261956,3.59896584347122e-10,0.854995155719444
"TCGA-DK-A6B0-01A-11R-A31N-07",0.000777472152859846,0.00216231723166852,0.0781902733379857,0.0146665090486298,0.0193848343895818,0.00477895316343912,6.87331597973669e-12,0.880039640668962
"TCGA-E7-A3X6-01A-12R-A22U-07",0.0023347075188865,0.0313264139167961,0.0823734647026265,0.0343618966275127,0.0222322721205028,0.0227880935426989,7.13282831400351e-10,0.804583150857694
"TCGA-XF-AAN4-01A-11R-A42T-07",0.00797602527900736,0.120322594865292,0.0453639049371329,0.0314577477200573,0.0871565406311387,0.0967270452549499,2.71390748215517e-08,0.610996114173347
"TCGA-K4-A5RJ-01A-11R-A28M-07",0.000224335443945387,0.0142386153536071,0.0120542516893611,0.0343214055140278,1.2684769752162e-06,0.423611175619284,0.00177798047942431,0.513770967423376
"TCGA-K4-AAQO-01A-11R-A38B-07",0.0117894706806766,0.0751705614516856,0.0632603110698365,0.0453598244431616,0.0435932486368987,0.0245459050782227,5.48717689547002e-09,0.736280673152341
"TCGA-XF-A9T3-01A-11R-A42T-07",0.00711813672393668,0.14835523843595,0.0456540022867196,0.0310024415387355,0.046790190125433,0.0234440074997931,0.00141941910396242,0.69621656428547
"TCGA-CF-A1HR-01A-11R-A13Y-07",0.00439284354224327,0.0310383638646665,0.0782249047046827,0.0303033315943294,0.0650890828730777,0.00912100237345815,4.33502476241746e-10,0.78183047061404
"TCGA-GC-A3RC-01A-11R-A22U-07",0.000661062396154007,0.0398224021977374,0.0814112863831659,0.00952556991050374,0.022738093177316,0.0705942333435867,0.0034654789023684,0.771781873689168
"TCGA-XF-A9SI-01A-11R-A39I-07",0.0559896915171687,0.0518283246748298,5.46676090002119e-07,0.239591708260275,0.0389060180970088,0.0841855620278859,9.34351619568287e-09,0.529498139403225
"TCGA-CF-A47Y-01A-11R-A23W-07",3.78998728000222e-05,0.00306934903791371,0.0832332907029629,0.015211132306923,0.027663404169543,0.00300980199345224,7.11236901885644e-11,0.867775121845282
"TCGA-HQ-A5ND-01A-11R-A26T-07",0.000814771059580524,0.00780650499627091,0.0852694520120175,0.0197181779506343,0.00809510616759443,0.00420223030249728,2.99889297335473e-09,0.874093754512512
"TCGA-DK-A1AD-01A-11R-A13Y-07",0.00254438374649502,0.0640657792340038,0.0834127426467631,0.0307760162600463,0.017564952980346,0.0121375822647943,1.54248706493784e-07,0.789498388618845
"TCGA-CF-A5UA-01A-11R-A28M-07",6.262044661617e-06,0.00788924785576638,0.146881097173145,0.0120191694289905,0.0261559159179701,0.00567274873375578,7.71391047691116e-10,0.801375558074319
"TCGA-BL-A0C8-01A-11R-A10U-07",0.00314537012382226,0.0347016504430261,0.0839101686793718,0.0373923908229379,0.0780493982220451,0.0267079717058306,2.94215300837233e-07,0.736092755787665
"TCGA-CF-A9FL-01A-11R-A38B-07",0.00224512405773822,0.0610989167748915,0.0189586549334184,0.0555644153787901,0.0359653280686561,0.0154304245384852,2.7620246879516e-08,0.810737108627773
"TCGA-BL-A0C8-01A-11R-A277-07",0.0030684096139925,0.0284935035090667,0.0820999506509381,0.0332703076699968,0.081220644248647,0.0226862033676587,1.31502524134882e-09,0.749160979624675
"TCGA-DK-AA6M-01A-11R-A39I-07",0.00060850412268734,0.0466808797175223,0.0206614154856381,0.0420878286099392,0.0293153844760578,0.107970025056863,0.00670693626766051,0.745969026263632
"TCGA-BT-A3PH-01A-11R-A220-07",7.16694405984858e-07,0.0368145033242217,1.60539723203874e-07,0.17044842575435,0.078566706676698,0.00617553145061057,0.00166076353546201,0.706333192024528
"TCGA-ZF-AA4U-01A-11R-A38B-07",3.91912185710114e-11,0.000985751675516896,0.0809373751042453,0.0122817836440432,0.0120435794997154,0.00310995625418852,2.82505095814045e-10,0.890641553500594
"TCGA-ZF-A9RE-01A-11R-A38B-07",0.00148264129908781,0.0075962357635376,0.0793004282727793,0.0149440885733389,0.01320182959092,0.00358710998625409,8.82660366709064e-11,0.879887666425816
