sampleID	Bcells	CAFs	CD4_Tcells	CD8_Tcells	Endothelial	Macrophages	NKcells	otherCells
U0195	0.0077	0.0591	0.2728	0.053	0.1006	0.0035	0	0.5032
U0182	0.0091	0.0136	0.2489	0.0566	0.076	8e-04	0	0.595
U0093	0.0069	0.0276	0.1816	0.046	0.1014	0.0026	0	0.6338
U0137	0.0056	0.0373	0.2729	0.0612	0.1233	6e-04	0	0.4991
U1284	0.0041	0.0289	0.1465	0.044	0.0752	9e-04	0	0.7003
U0090	0.0028	0.0239	0.1373	0.0466	0.049	0.0012	0	0.7393
U0053	0.0054	0.0747	0.4891	2e-04	0.1661	0.0049	0	0.2595
U1082	0.001	0.0343	0.2108	0.0128	0.1393	0.0023	0	0.5995
U0074	0.0142	0.0203	0.2331	0.0503	0.0747	0.0028	0	0.6046
U0089	0.0074	0.0189	0.2914	0.0713	0.0471	7e-04	0	0.5632
U0099	0.0029	0.1339	0.2171	0.0616	0.1428	0.0025	0	0.4391
U0177	0.004	0.0375	0.1533	0.0278	0.0733	0.001	0	0.7031
U1266	0.0105	0.0445	0.4536	0.0225	0.1032	0.0012	0	0.3646
U1002	0.0039	0.0189	0.2499	0.0597	0.0623	8e-04	0	0.6045
U0144	0.0063	0.0431	0.2125	0.0766	0.0719	3e-04	0	0.5893
U0086	0.0051	0.025	0.1588	0.0553	0.0496	0.0013	0	0.705
U0348	0.0049	0.0337	0.2728	0.0623	0.1431	0.0011	0	0.4821
U0412	0.003	0.065	0.4142	0.0204	0.1009	0.0016	0	0.3949
U0998	0.0156	0.068	0.3296	0.0137	0.1607	0.0017	0	0.4107
U0140	0.0157	0.1045	0.2552	0.0425	0.108	0.0027	0	0.4713
U0538	0.005	0.0154	0.1752	0.0616	0.081	8e-04	0	0.661
U1275	0.008	0.0151	0.2109	0.0758	0.0549	0.0032	0	0.632
U0023	0.0055	0.0408	0.2166	0.0559	0.0604	8e-04	0	0.6202
U0088	0.0084	0.0177	0.2391	0.0797	0.1079	7e-04	0	0.5465
U0907	0.0031	0.0149	0.162	0.0294	0.0438	0.0046	0	0.7423
U1030	0.0059	0.0374	0.2243	0.0617	0.0624	7e-04	0	0.6076
U0909	0.0103	0.0092	0.2466	0.0587	0.0935	0.0051	0	0.5767
U1478	0.0028	0.0136	0.1975	0.0376	0.0577	0.0015	0	0.6894
U0138	0.0028	0.0176	0.1699	0.0472	0.1396	5e-04	0	0.6223
