barcode,AluJo,AluYf1,AluYg6,HSMAR1,LTR1F1,LTR24,LTR27B,LTR73,MER136,MER4B,MER61E,MER66A,MER66C,SVA_A
TCGA-HQ-A5ND-01A-11R-A26T-07,9184.85516268232,156.7223826179225,39.31391362,1024.911493,49.340538,106.279598,12.953453,59.8448205,4.79401,679.623646597768,47.1401,24.319013,28.752544,1315.3736991
TCGA-G2-A3IB-01A-11R-A20F-07,16499.863465146078,305.0291401,70.77740057407,1374.125014,32.212366,91.345461,33.191371,104.2156287,2.98629,871.1474093,31.361261,315.117090156666,46.332894,1171.72840338
TCGA-ZF-AA5N-01A-11R-A42T-07,4661.688246298283,73.714852,11.560604,587.195193,3.385308,50.463081,30.7293344,42.346433,1.01831,179.640082,26.2650449,22.462524,21.219696,274.666285
TCGA-FD-A6TF-01A-52R-A32O-07,10814.997661741943,199.847015,23.647677,1246.105928,33.381448,237.489563,38.200112,118.31350179,6.44263,433.940809,37.50585,72.520058,88.143388,957.5747675
TCGA-GC-A3WC-01A-31R-A22U-07,15544.06094555685,280.7183874,29.879969,1777.96523,45.249595,123.600854,40.35723,107.948648,8.691939999999999,810.57456,74.370987,64.995416,88.12078,1262.2388194
TCGA-4Z-AA81-01A-11R-A39I-07,7509.798000325464,146.9453354,31.8295159252165,420.854393,11.635966,209.465991,26.3637327,85.644885,8.10279,1071.198657,23.455501,24.861275,63.728245,876.232174
TCGA-G2-A2EK-01A-22R-A18C-07,19192.37143790017,359.92270426074003,40.374756,2780.453602,48.821452,424.7907047,46.804132,150.197067,16.0761,1288.5974678,74.10874749999999,98.1814156,92.392126,643.40238299943
TCGA-GC-A3BM-01A-11R-A22U-07,13653.71797458185,146.9194835705,24.9564173,1641.578552,36.985154,216.471925,58.822462,91.085155,0.0,618.4665558,45.069191,68.624213,61.328063,859.7029568
TCGA-DK-A3X1-01A-12R-A22U-07,14441.257522453136,249.82752651,52.2556827,2917.827564,46.470785,200.468563,24.245489,166.181945,10.4211,1272.920226186,39.182,176.480477,159.91334700000002,2141.771078
TCGA-ZF-AA4V-01A-11R-A38B-07,13506.542279572368,237.2935883,27.990227,1269.534173,29.633666,245.496894,15.232326,96.717543,29.24433,1034.679711,47.823625,69.083691,381.805166,877.2969673
TCGA-XF-AAMR-01A-31R-A42T-07,24629.14060733904,324.0433098,33.5207252,4043.03005855,85.131626,615.175175,133.190364,300.374352,29.3807,1443.5164374948,124.533024051,87.045252,149.219645,1123.338514
