"","sig_names","p.value","cluster0","cluster1","statistic","p.adj","log10pvalue","stars"
"1","Oxidative_Phosphorylation",1.0328215256451e-16,0.191421503452151,-0.701314180789298,0.892735684241449,2.82993098026758e-14,15.9859747192588,"****"
"2","Sirtuin_Nicotinamide_Metabolism",1.27459883285937e-13,0.166097160211163,-0.608532958649748,0.774630118860911,1.36977769713834e-11,12.8946264835362,"****"
"3","Base_excision_repair",1.49975660270621e-13,0.173508260998736,-0.635685133216609,0.809193394215345,1.36977769713834e-11,12.8239792173968,"****"
"4","Homocysteine_Biosynthesis",7.40147100945393e-13,0.165747810898861,-0.607253041700253,0.773000852599115,4.67674127424473e-11,12.1306819575933,"****"
"5","Glycosphosphatidylinositol",8.53419940555608e-13,0.165126866512032,-0.60497807730957,0.770104943821603,4.67674127424473e-11,12.0688372138647,"****"
"6","Positive_regulation_of_exosomal_secretion",4.42251864763823e-12,0.163941210047339,-0.600634167784056,0.764575377831395,2.01961684908813e-10,11.354330327203,"****"
"7","Pyrimidine_Biosynthesis",1.55735000288783e-11,0.154187892614562,-0.564900774711757,0.719088667326318,5.4742359950968e-10,10.8076137719915,"****"
"8","Other_Glycan_Degradation",1.68153142270952e-11,0.152370095561705,-0.558240881084477,0.710610976646182,5.4742359950968e-10,10.7742950126301,"****"
"9","Glycerophospholipid_Metabolism",1.79810671371793e-11,0.154672701265564,-0.566676976318083,0.721349677583646,5.4742359950968e-10,10.7451845374061,"****"
"10","Interferons_Li_et_al",2.25033404379666e-11,-0.151590085259119,0.555383144223675,-0.706973229482794,6.16591528000286e-10,10.6477530096177,"****"
"11","Nucleotide_excision_repair",2.65769789508045e-11,0.152599410704488,-0.559081026828831,0.711680437533319,6.4543026961274e-10,10.5754943875604,"****"
"12","Methionine_Cycle",2.82670191071273e-11,0.153864597610561,-0.563716313369665,0.717580910980226,6.4543026961274e-10,10.5487199875339,"****"
"13","CD8_T_cells_Bindea_et_al",7.39388349309102e-11,0.149736690330133,-0.548592830059072,0.698329520389205,1.55840313623611e-09,10.1311273969745,"****"
"14","Purine_Metabolism",8.45756823627578e-11,0.147905717993612,-0.5418846659235,0.689790383917113,1.60316089440445e-09,10.0727544896064,"****"
"15","Pyrimidine_Metabolism",8.77642825403898e-11,0.149207235513711,-0.546653057545807,0.695860293059518,1.60316089440445e-09,10.0566821931102,"****"
"16","Sulfur_Metabolism",1.86160277423552e-10,0.141510005173072,-0.518452585324352,0.659962590497424,3.12571515526902e-09,9.7301129825177,"****"
"17","Nicotinamide_Adenine_Dinucleotide_Biosynthesis",1.93931232261217e-10,0.146281445600231,-0.535933791845094,0.682215237445325,3.12571515526902e-09,9.71235224297691,"****"
"18","Folate_biosynthesis",2.05718164273077e-10,0.144060143738763,-0.527795570865912,0.671855714604675,3.13148761171239e-09,9.68672735976233,"****"
"19","Glyoxylate_and_Dicarboxylate_Metabolism",2.51040727856584e-10,0.144109372125566,-0.527975929734376,0.672085301859942,3.62027154908969e-09,9.60025581458075,"****"
"20","Pentose_Phosphate",3.82948537498421e-10,0.14338133715671,-0.525308615777679,0.668689952934389,5.24639496372837e-09,9.41685958473147,"****"
"21","Purine_Biosynthesis",7.41495873541445e-10,0.139967323083948,-0.512800635015525,0.652767958099472,9.67475568335029e-09,9.12989126149759,"****"
"22","NK_cells_Bindea_et_al",8.45929145775264e-10,0.137291336653288,-0.502996578535057,0.640287915188345,1.01218763734165e-08,9.07266601153247,"****"
"23","Polyamine_Biosynthesis",8.49646556892623e-10,0.139760997902902,-0.512044717980544,0.651805715883446,1.01218763734165e-08,9.070761698184,"****"
"24","Citric_Acid_Cycle",9.68884173581133e-10,0.137620357715463,-0.504202018532758,0.641822376248221,1.10614276483846e-08,9.01372813810012,"****"
"25","Fructose_and_Mannose_Metabolism",1.52907519728814e-09,0.139663090205909,-0.511686011904836,0.651349102110746,1.6758664162278e-08,8.81557115620687,"****"
"26","Other_Types_of_O_Glycan_Biosynthesis",1.70323396661168e-09,0.13740562997066,-0.503415316883657,0.640820946854317,1.77371919112977e-08,8.76872569059925,"****"
"27","DDR",1.74782548031036e-09,0.139348140474368,-0.510532125277773,0.649880265752141,1.77371919112977e-08,8.75750193367073,"****"
"28","Amino_Sugar_and_Nucleotide_Sugar_Metabolism",1.9545584963483e-09,0.13730360810904,-0.503041537673827,0.640345145782867,1.91267509999798e-08,8.70895132740051,"****"
"29","ADP_Ribosylation",2.79867963398758e-09,0.135879544847807,-0.497824173159223,0.63370371800703,2.64426972314689e-08,8.5530468125572,"****"
"30","Cysteine_and_Methionine_Metabolism",4.47447689596785e-09,0.135310685787503,-0.495740034655101,0.631050720442605,4.0866888983173e-08,8.34925773006289,"****"
"31","N_Glycan_Biosynthesis",6.41047435621403e-09,0.130993558632497,-0.479923303308441,0.610916861940938,5.66603217291175e-08,8.1931098327801,"****"
"32","Propanoate_Metabolism",6.73840827374457e-09,0.130569344073649,-0.478369101296379,0.608938445370029,5.76976208439379e-08,8.17144267906836,"****"
"33","Glycogen_Degradation",6.99500864508904e-09,0.133102161576583,-0.487648627369075,0.620750788945658,5.80797687501333e-08,8.15521174442989,"****"
"34","Inositol_Phosphate_Metabolism",7.23105678311804e-09,0.130006468727631,-0.476306885426898,0.606313354154529,5.82738105463042e-08,8.14079822808056,"****"
"35","Ferroptosis",8.11980244420657e-09,0.133037190352987,-0.487410591204749,0.620447781557735,6.25716968760597e-08,8.09045453706851,"****"
"36","Glutathione_Metabolism",8.22109885962828e-09,0.132021006297433,-0.483687580594135,0.615708586891567,6.25716968760597e-08,8.085070129324,"****"
"37","Shingolipid_Metabolism",9.22773542092662e-09,0.129225413662366,-0.4734453208515,0.602670734513866,6.79208677791281e-08,8.03490486613175,"****"
"38","Arginine_Biosynthesis",9.41968239272579e-09,0.130079159854679,-0.476573205131301,0.606652364985979,6.79208677791281e-08,8.02596374024449,"****"
"39","Ubiquinone_and_other_Terpenoid_Quinone_Biosynthesis",1.44748219483258e-08,0.126102341980989,-0.462003270620615,0.588105612601604,1.00746749917059e-07,7.83938676973076,"****"
"40","Glycosaminoglycan_Degradation",1.49532557109661e-08,0.127936692319998,-0.468723810800702,0.5966605031207,1.00746749917059e-07,7.82526423989001,"****"
"41","CD8_c3_Tn",1.50752436007278e-08,0.130201331925064,-0.477020808999793,0.607222140924858,1.00746749917059e-07,7.82173566137042,"****"
"42","SW480_cancer_cells_Bindea_et_al",1.59566377300592e-08,0.127739602937157,-0.468001731114893,0.595741334052049,1.04098065191338e-07,7.79705861480949,"****"
"43","Pyruvate_Metabolism",1.92193950072248e-08,0.126686594894259,-0.464143807842684,0.590830402736943,1.22467772836735e-07,7.71626028727929,"****"
"44","Beta_Alanine_Metabolism",2.37845420673255e-08,0.121552307026417,-0.445333231052536,0.566885538078953,1.48112830146527e-07,7.6237052057975,"****"
