,TE,p_value,FDR
638,MER4B,3.423038995545743e-07,0.00032381948897862727
634,MER49,7.32808185144258e-06,0.0034661827157323405
388,LTR24,1.2036329905485547e-05,0.0037954560301964426
450,LTR5_Hs,3.329575571859194e-05,0.006299556981957595
157,HSMAR1,2.7622747597368083e-05,0.006299556981957595
12,AluSq,5.51964355393966e-05,0.008702638003378197
11,AluSp,6.633459354888028e-05,0.008964646499605822
31,AluYf1,0.00015445101730246393,0.00974071082454206
14,AluSq2,0.0001464343809984198,0.00974071082454206
62,Charlie14a,0.00015055960500043303,0.00974071082454206
587,MER136,0.0001500679380656081,0.00974071082454206
698,MER66C,0.00011693379882826974,0.00974071082454206
5,AluSc,9.062429131179026e-05,0.00974071082454206
645,MER4E1,0.00014822864961553208,0.00974071082454206
482,LTR73,0.00010834924016666069,0.00974071082454206
657,MER52C,0.0001929917067469635,0.011029496159212062
637,MER4A1_,0.00019820447643404337,0.011029496159212062
7,AluSc8,0.0003078700054112775,0.013868810719955642
299,L2b,0.0002856697910629923,0.013868810719955642
16,AluSx,0.0003054584145644291,0.013868810719955642
34,AluYh3a3,0.0002726690654994886,0.013868810719955642
65,Charlie17,0.0004588680777246391,0.01510769239608513
467,LTR61,0.00047409525261645966,0.01510769239608513
712,MER70B,0.0004141258493254979,0.01510769239608513
39,AluYj4,0.00041902345277520776,0.01510769239608513
26,AluYc,0.00045341294280582526,0.01510769239608513
8,AluSg,0.00047910229585893644,0.01510769239608513
19,AluSx4,0.00039189200171965515,0.01510769239608513
17,AluSx1,0.0003545951387829906,0.01510769239608513
9,AluSg4,0.0004382553892078786,0.01510769239608513
18,AluSx3,0.000543057182505716,0.016572003053238946
22,AluY,0.0006139017120516975,0.017898665548345245
21,AluSz6,0.0006243720540120434,0.017898665548345245
29,AluYe5,0.0007183113091274977,0.019985955836312144
865,SVA_A,0.0008084772327020362,0.02185198463246075
372,LTR1F1,0.0008340496851148801,0.021916972281074348
92,Charlie9,0.0009679294822400736,0.024096349742081833
406,LTR2B,0.0009496829076935061,0.024096349742081833
391,LTR25,0.0010243201940996554,0.024846330862007025
697,MER66A,0.0010629155113767894,0.02513795184406107
114,FLAM_A,0.0011194290679916255,0.025828778007806773
13,AluSq10,0.0011547803914916603,0.026010053579788348
612,MER34C2,0.0011894703124398027,0.026168346873675658
33,AluYh3,0.001287161901032065,0.027118324125838086
1,AluJb,0.0012899837057745388,0.027118324125838086
349,LTR16B,0.0016227533848408098,0.030391310675618895
43,AluYk3,0.0015379442152927156,0.030391310675618895
20,AluSz,0.0015816259546653033,0.030391310675618895
471,LTR66,0.0016384321823008073,0.030391310675618895
3,AluJr,0.0015803281576955638,0.030391310675618895
10,AluSg7,0.0015714057983571643,0.030391310675618895
464,LTR5A,0.0017046291976985455,0.031011138865823542
810,MLT1J2,0.001753330489077652,0.031295295144669034
115,FLAM_C,0.0019392163685266796,0.03397219786344887
374,LTR2,0.002037315641111849,0.03441608208021088
342,LTR14B,0.0020155212669706307,0.03441608208021088
812,MLT1K,0.002295812677431197,0.037190843876124494
390,LTR24C,0.0023195135187012105,0.037190843876124494
764,MLT-int,0.002247815119774986,0.037190843876124494
701,MER67C,0.0025111436380094655,0.03774619046832054
399,LTR27B,0.0025149669587934856,0.03774619046832054
688,MER61E,0.0024053216734641163,0.03774619046832054
91,Charlie8,0.0025423758979217594,0.03774619046832054
221,L1MC5a,0.002553653477772214,0.03774619046832054
535,MamGypLTR2c,0.0026784350860392684,0.0389815321752792
636,MER4A1,0.0028582477495285663,0.04096821774324279
545,MamRep38,0.0031908253208068203,0.04375285562644469
2,AluJo,0.0031912759389267267,0.04375285562644469
547,MamRep434,0.00312775219125469,0.04375285562644469
617,MER41A,0.0032908788637272253,0.04384748457867542
665,MER57B1,0.003288126653127876,0.04384748457867542
32,AluYg6,0.0035299607872045125,0.046379762565214845
826,MLT2B3,0.003690427524475269,0.047823896413063074
794,MLT1G1,0.004265414946436276,0.05452814242336104
671,MER57E2,0.004367642587919429,0.0550905318422904
635,MER4A,0.004559520787315481,0.05601696967273305
771,MLT1B,0.004525641969815512,0.05601696967273305
137,HERVE-int,0.004669634822918997,0.056634289006171415
837,MSTB,0.004832159366878,0.057859931403651706
650,MER51A,0.004893017454854267,0.057859931403651706
732,MER83C,0.00515024213944651,0.06014974152983208
784,MLT1E3,0.005586758614579712,0.06405856281467148
639,MER4B-int,0.00562036016238661,0.06405856281467148
389,LTR24B,0.005766920290626782,0.06494650708253495
386,LTR23,0.006072521403197702,0.06688692664575466
359,LTR19A,0.006080629695068606,0.06688692664575466
439,LTR45C,0.006318400109133611,0.06870352302575168
919,UCON107,0.006800960151000767,0.0699316119874644
59,Charlie12,0.006712103778912641,0.0699316119874644
855,PRIMA4_LTR,0.0067879251021744965,0.0699316119874644
614,MER39,0.006521103693075233,0.0699316119874644
36,AluYh9,0.00678518129032596,0.0699316119874644
103,ERV3-16A3_I-int,0.0070169983307977,0.07137720882725403
695,MER65D,0.007190955387829137,0.072368551030706
775,MLT1D,0.007315491371039592,0.07284689302108899
653,MER51D,0.007455736393692561,0.07347006904617878
310,LOR1a,0.008541764187933109,0.07623121624325208
863,Ricksha_b,0.008106584920730566,0.07623121624325208
158,HSMAR2,0.00796978234788668,0.07623121624325208
95,CR1-12_AMi,0.008157292787086323,0.07623121624325208
462,LTR58,0.008444738614210426,0.07623121624325208
370,LTR1D1,0.008526359298952504,0.07623121624325208
398,LTR27,0.008466269559371678,0.07623121624325208
455,LTR53,0.007859442252606494,0.07623121624325208
130,HERV1_LTRa,0.00825884633275694,0.07623121624325208
339,LTR13_,0.008101909739387693,0.07623121624325208
449,LTR5,0.00889951176763267,0.07743401907360531
0,Alu,0.008789168316263042,0.07743401907360531
4,AluJr4,0.008935129412061786,0.07743401907360531
45,AluYm1,0.009003955706233175,0.07743401907360531
41,AluYk12,0.009247179089807126,0.07810563766926377
446,LTR48,0.009205682124865128,0.07810563766926377
608,MER34A1,0.009639178513053208,0.08069613162255163
491,LTR7C,0.009757774179472527,0.08097240678755273
